Entry Name,Photo1
Св. Инокентий 4 3/8 х 5 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_MhQQhDoNspNykFZMuIBTDZdsyn-P3H95Azj2nb566tscpnZ5ry-50w==
Св. Иоан Shanghai 15 1/2 х 19 3/4,https://lnk.sortly.co/v2/downloads/photo/v2__n5-hhQ9UZDCpQL9aVSU4oUeSI0yUOqdporiA-bDh58QJw9qyQDHVA==
Св. Иоан Кронштадтский - 16 5/8 х 13 7/8,https://lnk.sortly.co/v2/downloads/photo/v2_wOlzwDz47T8H9yhmnKwoKWOoCc1KDKv1LB0MPubP2XLz4WIdEysh6g==
Св. Иоанн Рыльский 8 1/8 х 10 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_nmghSNAtBIbYFaZEs8t0HQ1LdGqzUYWbTScy-JQWnGcu8CS5gy8fiA==
Св. Ирина 9 1/2 х 11 5/8,https://lnk.sortly.co/v2/downloads/photo/v2_JTeDW2vK0rqqi715qxVEvqcws0zl44H9iCTYF8I3tWkpwvYAzhS1wg==
Св. Ксения Петербургская 17 1/2 х 21 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_blmPjbdOAW2YJ8OSweYZtc5hEIwRhMnQfPCBOXm-e7DGSyNcf8ming==
Св. Лука Крымский с мощами 11 3/4 х 13 7/8,https://lnk.sortly.co/v2/downloads/photo/v2_dBwAlp1dM6LUVi-fDKNlAfLE2G3SCUhJYarRNDjM0DO4si8myC1c7w==
Св. Николаи 4 х 4 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_Jmn29LXF7xJHh1xDOrXeziqdXaDLPAgQ_FKPdaDWklRETDYIwlAUoQ==
Св. Николай 17 3/4 х 21 5/8,https://lnk.sortly.co/v2/downloads/photo/v2_Yogefm1U0A8aGl1hm5zhhi-LO4sreftj2YzNRNAm0gzVeVHeof_adw==
Св. Николай 22 3/4 х 25 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_w-qRMr_zhazBNTBs-_LKfHz7DjxF58d5pO73s5wFSnR7BQxepuu_1A==
Св. Ниль Столбенский 11 1/2 х 13 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_Y8N1W9VkbTmx1UgDTKk-OoXfEQYwyT5ZDwAYHZ13RqjrQYNtLcS7qg==
Св. Патриарх Иоан 15 1/2 х 18,https://lnk.sortly.co/v2/downloads/photo/v2_-aNbnVnTDPFEPCQfZQ644dKow9EbLChYmREywMBPz8aWX95fIib5IA==
Св. Серафим саровский 10 х 13 5/8,https://lnk.sortly.co/v2/downloads/photo/v2_EhqnoODjkxgwIaS94VEOxvo3vU6lYOmgLWPRGLILPrWGhvWDRd_6VQ==
Св. Спиридон 11 7/8 х 15 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_Vd4xlbioLAmaPSjrZj-Q6m-E8njpmwz6NTr3bXp5teFLe_8F9MDmrg==
Св. Спиридон 5 1/2 х 8 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_Zd9-hsvFA7qQRft3M3Om4qsIlwiSunQ9pxhNa-_ZgORDUKAEeuN5xA==
Св. Татиана 15 3/4 х 19 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_W1kHqKmk2gPRNKzrYWiIvAzm2xWPsOjd4IdxdfSao2xUzlBlg_4cfw==
Св. Феодора 7 х 8 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_okdhZaMuFSpSok17gjSTG-MDnTppHl-HJJY4fIJwNZBRM_KzClMTCA==
Севастийские мученики 9 1/4 х 12,https://lnk.sortly.co/v2/downloads/photo/v2_cAxCWD-PViGsiaMI2_G-omT54sUkSSqrhghiaOo1Uw_yI8580ZSnRg==
Серафим Выредцкий 9 7/8 х 11 3/8,https://lnk.sortly.co/v2/downloads/photo/v2_88gSjM8sRnUdZ8ntbGDjszdz02cw9PCB2zL9ze89FRE0IHRrGkPT3g==
Скоропослужница 13 х 15 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_7iSXYgq-R0YoHrlNicvkCol-9faFPD5JweA47v_yS9rPiDkkif_S9Q==
Собор американских святых 9 1/2 х 9 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_A4yD-s4J8ivygGC7gJyp6gVP4uiwEJtZuvVYjNvYbW8Uged9mQyphg==
Спаситель (Пантократор) 17 1/4 х 21 1/4 [broken],https://lnk.sortly.co/v2/downloads/photo/v2_la6e4N3ufHjiXdSsJdVApxqPLJGP8yRRvbDJ6txpKzbHNWu1XwQfMg==
Спаситель (нерукотворная) 25 х 33,https://lnk.sortly.co/v2/downloads/photo/v2_PH3K1tXH0xW1oaDxUFHlZBxWRnEKY9WNrO45zWiUXrL6A9bmj0kl7A==
Спаситель 10 3/4 х 12 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_yKUbKH6yUZPNPZPcBSaY5UXm7Q_5Y-CgmHDSDHjLu-awnP5zztuEUQ==
Спаситель 10 3/8 х 12 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_7B0x9JamV_59FrMKEZed9JBk_aT8sVlJFbKF6E-2xtdDCw0_AfdFJg==
